,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
0,203932,Aaron Gordon,1610612753,ORL,23.0,27,880.0,179,129,50,44,1,25,58,16,18,34,0.471,0.529,9,78,36,13,87,0.103,0.897,0.766,0.277
1,1628988,Aaron Holiday,1610612754,IND,22.0,17,215.0,40,22,18,11,0,0,0,5,5,10,0.5,0.5,0,6,3,0,6,0.0,1.0,0.75,0.0
2,1627846,Abdel Nader,1610612760,OKC,25.0,12,38.0,13,10,3,3,0,0,0,3,1,4,0.75,0.25,0,7,3,1,7,0.0,1.0,0.75,0.25
3,201143,Al Horford,1610612738,BOS,32.0,22,660.0,318,247,71,29,0,78,180,5,14,19,0.263,0.737,9,141,74,22,150,0.06,0.94,0.881,0.262
4,202329,Al-Farouq Aminu,1610612757,POR,28.0,29,874.0,261,156,105,60,0,31,71,15,13,28,0.536,0.464,11,123,64,22,134,0.082,0.918,0.853,0.293
5,202692,Alec Burks,1610612739,CLE,27.0,26,526.0,117,61,56,25,0,2,4,5,6,11,0.455,0.545,0,15,7,0,15,0.0,1.0,0.875,0.0
6,203518,Alex Abrines,1610612760,OKC,25.0,25,494.0,145,92,53,20,1,1,3,4,12,16,0.25,0.75,0,37,20,2,37,0.0,1.0,0.741,0.074
7,203458,Alex Len,1610612737,ATL,25.0,26,506.0,269,232,37,14,0,41,96,7,7,14,0.5,0.5,18,141,77,18,159,0.113,0.887,0.885,0.207
8,1627816,Alex Poythress,1610612737,ATL,25.0,13,195.0,44,29,15,8,0,4,10,3,2,5,0.6,0.4,5,34,21,10,39,0.128,0.872,0.84,0.4
9,1628035,Alfonzo McKinnie,1610612744,GSW,26.0,21,338.0,84,38,46,13,1,9,23,4,7,11,0.364,0.636,3,22,15,3,25,0.12,0.88,1.0,0.2
10,1628993,Alize Johnson,1610612754,IND,22.0,4,12.0,2,1,1,1,0,0,0,2,0,2,1.0,0.0,0,2,2,2,2,0.0,1.0,1.0,1.0
11,203459,Allen Crabbe,1610612751,BKN,26.0,28,732.0,129,81,48,25,0,4,9,3,12,15,0.2,0.8,0,22,13,5,22,0.0,1.0,0.867,0.333
12,1629019,Allonzo Trier,1610612752,NYK,22.0,27,628.0,107,63,44,18,0,3,6,10,13,23,0.435,0.565,0,10,5,1,10,0.0,1.0,0.714,0.143
13,101161,Amir Johnson,1610612755,PHI,31.0,27,276.0,116,94,22,18,2,51,119,8,5,13,0.615,0.385,6,74,41,13,80,0.075,0.925,0.82,0.26
14,203083,Andre Drummond,1610612765,DET,25.0,27,890.0,375,288,87,72,0,67,147,19,18,37,0.514,0.486,73,123,108,70,197,0.371,0.624,0.85,0.551
15,2738,Andre Iguodala,1610612744,GSW,34.0,25,584.0,106,57,49,43,2,18,42,9,17,26,0.346,0.654,4,73,42,7,77,0.052,0.948,0.824,0.137
16,1626150,Andrew Harrison,1610612740,NOP,24.0,14,162.0,31,14,17,13,2,1,2,3,2,5,0.6,0.4,0,1,1,0,1,0.0,1.0,1.0,0.0
17,203952,Andrew Wiggins,1610612750,MIN,23.0,25,828.0,207,106,101,42,0,1,3,14,15,29,0.483,0.517,1,20,11,5,21,0.048,0.952,0.917,0.417
18,1629014,Anfernee Simons,1610612757,POR,19.0,5,34.0,5,4,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
19,1627790,Ante Zizic,1610612739,CLE,21.0,18,160.0,60,52,8,2,0,27,57,2,1,3,0.667,0.333,18,46,31,14,64,0.281,0.719,0.795,0.359
20,203076,Anthony Davis,1610612740,NOP,25.0,26,961.0,383,287,96,79,2,104,226,24,26,50,0.48,0.52,33,102,78,48,135,0.244,0.756,0.907,0.558
21,201229,Anthony Tolliver,1610612750,MIN,33.0,18,289.0,75,42,33,10,3,8,19,2,5,7,0.286,0.714,5,64,30,7,69,0.072,0.928,0.833,0.194
22,1628469,Antonio Blakeney,1610612741,CHI,22.0,24,410.0,66,34,32,11,0,0,0,6,5,11,0.545,0.455,0,15,8,2,15,0.0,1.0,0.8,0.2
23,203382,Aron Baynes,1610612738,BOS,32.0,24,354.0,165,131,34,11,7,76,179,5,4,9,0.556,0.444,34,116,78,20,150,0.227,0.773,0.929,0.238
24,203085,Austin Rivers,1610612764,WAS,26.0,29,683.0,118,72,46,33,1,2,4,9,18,27,0.333,0.667,1,30,12,0,31,0.032,0.968,0.632,0.0
25,202340,Avery Bradley,1610612746,LAC,28.0,23,683.0,112,65,47,45,4,5,14,4,11,15,0.267,0.733,1,22,12,1,23,0.043,0.957,0.857,0.071
26,1628389,Bam Adebayo,1610612748,MIA,21.0,28,583.0,191,155,36,29,0,86,204,13,6,19,0.684,0.316,21,207,117,48,228,0.092,0.908,0.914,0.375
27,203463,Ben McLemore,1610612758,SAC,25.0,8,41.0,4,1,3,1,0,0,0,0,0,0,0.0,0.0,0,3,1,1,3,0.0,1.0,1.0,1.0
28,1627732,Ben Simmons,1610612755,PHI,22.0,29,969.0,175,98,77,70,0,43,101,23,25,48,0.479,0.521,16,38,27,11,54,0.296,0.704,0.818,0.333
29,202687,Bismack Biyombo,1610612766,CHA,26.0,10,77.0,34,29,5,1,0,9,21,2,0,2,1.0,0.0,2,23,14,4,25,0.08,0.92,0.875,0.25
30,201933,Blake Griffin,1610612765,DET,29.0,26,927.0,196,91,105,32,8,56,130,24,18,42,0.571,0.429,9,108,55,25,117,0.077,0.923,0.902,0.41
31,1626246,Boban Marjanovic,1610612746,LAC,30.0,22,249.0,137,121,16,10,0,28,61,4,2,6,0.667,0.333,16,49,35,19,65,0.246,0.754,0.854,0.463
32,1626171,Bobby Portis,1610612741,CHI,23.0,7,172.0,44,28,16,4,0,9,21,6,4,10,0.6,0.4,8,35,17,8,43,0.186,0.814,0.739,0.348
33,203992,Bogdan Bogdanovic,1610612758,SAC,26.0,17,462.0,66,31,35,31,1,3,8,8,6,14,0.571,0.429,0,25,9,1,25,0.0,1.0,0.75,0.083
34,202711,Bojan Bogdanovic,1610612754,IND,29.0,29,912.0,182,91,91,35,1,7,15,16,18,34,0.471,0.529,6,37,25,2,43,0.14,0.86,0.893,0.071
35,202954,Brad Wanamaker,1610612738,BOS,29.0,11,87.0,9,6,3,10,0,0,0,0,1,1,0.0,1.0,1,2,2,1,3,0.333,0.667,1.0,0.5
36,203078,Bradley Beal,1610612764,WAS,25.0,29,1040.0,244,122,122,58,7,6,13,17,28,45,0.378,0.622,3,34,20,6,37,0.081,0.919,0.909,0.273
37,1627742,Brandon Ingram,1610612747,LAL,21.0,20,615.0,137,73,64,18,0,1,2,13,9,22,0.591,0.409,1,12,10,2,13,0.077,0.923,0.909,0.182
38,202688,Brandon Knight,1610612745,HOU,27.0,2,8.0,3,0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
39,201572,Brook Lopez,1610612749,MIL,30.0,28,783.0,457,365,92,24,0,41,96,8,7,15,0.533,0.467,5,231,125,30,236,0.021,0.979,0.893,0.214
40,1628971,Bruce Brown,1610612765,DET,22.0,20,369.0,97,54,43,24,0,1,3,4,7,11,0.364,0.636,1,11,5,0,12,0.083,0.917,0.714,0.0
