,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
0,203932,Aaron Gordon,1610612753,ORL,16,8,8,520.0,75,20,38,0.526,7,11,0.636,49,0.653,12,0.16,6,0.08,11,0.147,6,0.08
1,1628988,Aaron Holiday,1610612754,IND,7,6,1,52.0,7,2,3,0.667,0,0,0.0,4,0.571,2,0.286,2,0.286,0,0.0,0,0.0
2,1627846,Abdel Nader,1610612760,OKC,6,5,1,11.0,5,2,4,0.5,0,0,0.0,4,0.8,1,0.2,0,0.0,0,0.0,0,0.0
3,201143,Al Horford,1610612738,BOS,17,9,8,501.0,29,5,13,0.385,5,6,0.833,16,0.552,5,0.172,4,0.138,4,0.138,3,0.103
4,202329,Al-Farouq Aminu,1610612757,POR,16,11,5,476.0,31,12,21,0.571,4,4,1.0,29,0.935,2,0.065,2,0.065,1,0.032,2,0.065
5,202692,Alec Burks,1610612762,UTA,13,7,6,193.0,54,8,20,0.4,9,10,0.9,28,0.519,13,0.241,7,0.13,3,0.056,6,0.111
6,203518,Alex Abrines,1610612760,OKC,14,9,5,303.0,20,3,9,0.333,2,2,1.0,8,0.4,6,0.3,0,0.0,3,0.15,2,0.1
7,203458,Alex Len,1610612737,ATL,17,3,14,371.0,8,3,6,0.5,0,0,0.0,6,0.75,0,0.0,0,0.0,2,0.25,0,0.0
8,1627816,Alex Poythress,1610612737,ATL,13,3,10,195.0,6,0,3,0.0,1,2,0.5,1,0.167,2,0.333,0,0.0,0,0.0,1,0.167
9,1628035,Alfonzo McKinnie,1610612744,GSW,16,12,4,251.0,7,3,7,0.429,0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0
10,1628993,Alize Johnson,1610612754,IND,3,2,1,9.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
11,203459,Allen Crabbe,1610612751,BKN,16,7,9,379.0,31,4,16,0.25,2,2,1.0,10,0.323,4,0.129,4,0.129,5,0.161,1,0.032
12,1629019,Allonzo Trier,1610612752,NYK,17,4,13,411.0,112,22,48,0.458,12,14,0.857,57,0.509,34,0.304,5,0.045,13,0.116,8,0.071
