,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_PTS,PULL_UP_EFG_PCT
0,201985,AJ Price,1610612750,MIN,28,15,13,99.0,9,25,0.36,0,9,0.0,18,0.36
1,201166,Aaron Brooks,1610612743,DEN,72,42,30,1557.0,64,191,0.335,28,94,0.298,156,0.408
2,201189,Aaron Gray,1610612758,SAC,36,11,25,348.0,0,1,0.0,0,0,0.0,0,0.0
3,203519,Adonis Thomas,1610612755,PHI,6,2,4,38.0,3,3,1.0,0,0,0.0,6,1.0
4,1733,Al Harrington,1610612764,WAS,33,20,13,497.0,2,16,0.125,0,2,0.0,4,0.125
5,201143,Al Horford,1610612737,ATL,29,16,13,958.0,6,25,0.24,0,2,0.0,12,0.24
6,2744,Al Jefferson,1610612766,CHA,72,37,35,2517.0,51,128,0.398,2,2,1.0,104,0.406
7,202329,Al-Farouq Aminu,1610612740,NOP,80,33,47,2045.0,12,36,0.333,0,1,0.0,24,0.333
8,101187,Alan Anderson,1610612751,BKN,77,42,35,1745.0,39,119,0.328,10,40,0.25,88,0.37
9,202692,Alec Burks,1610612762,UTA,78,24,54,2193.0,91,268,0.34,11,51,0.216,193,0.36
10,203458,Alex Len,1610612756,PHX,42,24,18,362.0,2,7,0.286,0,0,0.0,4,0.286
11,203144,Alexey Shved,1610612750,MIN,63,28,35,664.0,17,78,0.218,13,42,0.31,47,0.301
12,201582,Alexis Ajinca,1610612740,NOP,56,22,34,951.0,2,6,0.333,0,1,0.0,4,0.333
13,203459,Allen Crabbe,1610612757,POR,15,12,3,100.0,3,8,0.375,1,1,1.0,7,0.438
14,202087,Alonzo Gee,1610612739,CLE,65,29,36,1020.0,6,46,0.13,1,7,0.143,13,0.141
15,2405,Amar'e Stoudemire,1610612752,NYK,65,26,39,1466.0,5,17,0.294,0,0,0.0,10,0.294
16,101161,Amir Johnson,1610612761,TOR,76,42,34,2181.0,5,14,0.357,0,2,0.0,10,0.357
