,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST
0,201985,AJ Price,1610612739,CLE,26,11,15,324.0,6,1,5,0.167,20,0.3,0,0.3,15.1,26,8,18,0.308,48,0.542,4,0.591,11.7,32,9,23,0.281,68,0.471,4,0.5,12.3
1,201166,Aaron Brooks,1610612741,CHI,82,50,32,1885.0,32,12,18,0.375,153,0.209,8,0.221,11.9,134,20,115,0.149,296,0.453,23,0.491,10.3,166,32,133,0.193,449,0.37,31,0.397,10.6
2,203932,Aaron Gordon,1610612753,ORL,47,14,33,797.0,46,34,11,0.739,110,0.418,3,0.43,5.5,123,38,86,0.309,208,0.591,18,0.647,5.8,169,72,97,0.426,318,0.531,21,0.569,5.7
3,203940,Adreian Payne,1610612750,MIN,32,7,25,740.0,48,26,25,0.542,117,0.41,5,0.429,8.0,114,37,75,0.325,188,0.606,16,0.663,4.5,162,63,100,0.389,305,0.531,21,0.57,5.6
4,201143,Al Horford,1610612737,ATL,76,56,20,2318.0,131,80,50,0.611,265,0.494,10,0.514,7.3,413,189,222,0.458,707,0.584,54,0.632,5.7,544,269,272,0.494,972,0.56,64,0.599,6.1
5,2744,Al Jefferson,1610612766,CHA,65,25,40,1992.0,99,59,39,0.596,237,0.418,9,0.434,8.6,449,163,282,0.363,701,0.641,51,0.691,4.1,548,222,321,0.405,938,0.584,60,0.624,4.9
6,202329,Al-Farouq Aminu,1610612742,DAL,74,45,29,1366.0,114,74,38,0.649,248,0.46,18,0.496,6.7,228,83,141,0.364,389,0.586,47,0.667,5.6,342,157,179,0.459,637,0.537,65,0.598,6.0
7,101187,Alan Anderson,1610612751,BKN,74,35,39,1744.0,31,15,15,0.484,124,0.25,7,0.265,10.4,173,40,129,0.231,311,0.556,35,0.627,8.2,204,55,144,0.27,435,0.469,42,0.519,8.6
8,202692,Alec Burks,1610612762,UTA,27,9,18,899.0,19,10,9,0.526,83,0.229,4,0.241,9.4,95,19,75,0.2,163,0.583,17,0.651,6.8,114,29,84,0.254,246,0.463,21,0.507,7.2
9,203945,Alex Kirk,1610612739,CLE,5,2,3,14.0,1,1,0,1.0,2,0.5,0,0.5,4.1,0,0,0,0.0,0,0.0,0,0.0,0.0,1,1,0,1.0,2,0.5,0,0.5,4.1
10,203458,Alex Len,1610612756,PHX,69,35,34,1518.0,142,105,34,0.739,335,0.424,8,0.434,5.1,312,159,152,0.51,593,0.526,71,0.598,3.6,454,264,186,0.581,928,0.489,79,0.535,4.1
11,203144,Alexey Shved,1610612752,NYK,42,10,32,767.0,23,12,12,0.522,86,0.267,4,0.28,11.6,76,17,59,0.224,136,0.559,12,0.613,8.4,99,29,71,0.293,222,0.446,16,0.481,9.3
12,201582,Alexis Ajinca,1610612740,NOP,68,41,27,957.0,104,72,32,0.692,222,0.468,5,0.479,5.5,211,91,123,0.431,333,0.634,21,0.676,4.1,315,163,155,0.517,555,0.568,26,0.595,4.6
13,203459,Allen Crabbe,1610612757,POR,51,36,15,683.0,7,2,4,0.286,35,0.2,0,0.2,14.3,66,12,54,0.182,126,0.524,9,0.564,5.9,73,14,58,0.192,161,0.453,9,0.48,6.6
14,202087,Alonzo Gee,1610612757,POR,54,21,33,661.0,37,20,16,0.541,120,0.308,7,0.327,8.0,57,21,36,0.368,106,0.538,8,0.582,7.5,94,41,52,0.436,226,0.416,15,0.445,7.7
15,2405,Amar'e Stoudemire,1610612742,DAL,58,19,39,1236.0,109,84,23,0.771,283,0.385,8,0.396,5.0,218,103,115,0.472,400,0.545,33,0.594,3.9,327,187,138,0.572,683,0.479,41,0.509,4.2
16,101161,Amir Johnson,1610612761,TOR,75,44,31,1979.0,159,118,40,0.742,382,0.416,12,0.43,5.4,297,153,141,0.515,635,0.468,72,0.528,4.3,456,271,181,0.594,1017,0.448,84,0.489,4.7
